The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL061885      ||      1145.31       ||        5.45        ||       15.86        ||     24870000.0     ||        N/A         |
|        N/A         ||      AL071885      ||      1071.49       ||       11.91        ||        15.6        ||     20694000.0     ||        N/A         |
|        N/A         ||      AL081885      ||       1166.4       ||       12.96        ||        18.7        ||     9412000.0      ||        N/A         |
|        N/A         ||      AL011886      ||       705.08       ||       11.75        ||       15.06        ||     12054750.0     ||        N/A         |
|        N/A         ||      AL021886      ||      2250.96       ||        12.1        ||       34.62        ||     45781375.0     ||        N/A         |
|        N/A         ||      AL031886      ||      1581.89       ||       12.55        ||       22.77        ||     39576375.0     ||        N/A         |
|        N/A         ||      AL041886      ||       4089.8       ||       16.23        ||       31.81        ||     62578125.0     ||        N/A         |
|        N/A         ||      AL051886      ||      2874.79       ||       12.61        ||        20.2        ||    123308625.0     ||        N/A         |
|        N/A         ||      AL061886      ||      3681.79       ||       12.03        ||       22.88        ||    192123750.0     ||        N/A         |
|        N/A         ||      AL071886      ||      2886.38       ||       22.91        ||        34.1        ||     61527750.0     ||        N/A         |
|        N/A         ||      AL081886      ||      2148.32       ||       10.23        ||       15.91        ||     63681000.0     ||        N/A         |
|        N/A         ||      AL091886      ||       709.04       ||        3.38        ||        6.57        ||    104711250.0     ||        N/A         |
|        N/A         ||      AL101886      ||      1099.87       ||        7.97        ||       12.74        ||     74253750.0     ||        N/A         |
|        N/A         ||      AL111886      ||       881.54       ||        6.39        ||       14.79        ||     9500250.0      ||        N/A         |
|        N/A         ||      AL121886      ||      1173.64       ||        9.78        ||       14.88        ||     14055000.0     ||        N/A         |
|        N/A         ||      AL011887      ||      1487.29       ||        11.8        ||       51.81        ||     13237500.0     ||        N/A         |
|        N/A         ||      AL021887      ||       981.37       ||        8.61        ||       13.41        ||     9798750.0      ||        N/A         |
